,Q,PS,TS
1948-05-28,-9999.0,3.6,8.2
1948-05-29,-9999.0,4.1,3.7
1948-05-30,-9999.0,0.8,3.5
1948-05-31,-9999.0,1.7,4.4
1948-06-01,-9999.0,5.5,3.5
1948-06-02,-9999.0,5.8,2.1
1948-06-03,-9999.0,9.3,6.8
1948-06-04,-9999.0,0.1,3.8
1948-06-05,-9999.0,0.0,6.0
1948-06-06,-9999.0,0.0,10.0
1948-06-07,-9999.0,0.0,11.1
1948-06-08,-9999.0,0.0,12.4
1948-06-09,-9999.0,4.6,13.9
1948-06-10,-9999.0,13.6,12.9
1948-06-11,-9999.0,4.1,12.3
1948-06-12,-9999.0,2.0,11.8
1948-06-13,-9999.0,3.6,11.8
1948-06-14,-9999.0,3.3,12.1
1948-06-15,-9999.0,1.9,11.1
1948-06-16,-9999.0,5.1,10.1
1948-06-17,-9999.0,20.5,11.4
1948-06-18,-9999.0,34.7,11.7
1948-06-19,-9999.0,15.3,6.4
1948-06-20,-9999.0,1.0,3.6
1948-06-21,-9999.0,0.1,4.1
1948-06-22,-9999.0,0.2,6.2
1948-06-23,-9999.0,0.3,5.8
1948-06-24,-9999.0,0.0,5.4
1948-06-25,-9999.0,0.0,6.2
1948-06-26,-9999.0,0.3,6.9
1948-06-27,-9999.0,0.4,8.6
1948-06-28,-9999.0,0.5,8.6
1948-06-29,-9999.0,0.0,4.0
1948-06-30,-9999.0,0.0,3.5
1948-07-01,-9999.0,0.4,3.0
1948-07-02,-9999.0,0.1,5.6
1948-07-03,-9999.0,0.0,8.6
1948-07-04,-9999.0,1.0,8.6
1948-07-05,-9999.0,2.1,7.3
1948-07-06,-9999.0,0.1,4.4
1948-07-07,-9999.0,0.6,6.7
1948-07-08,-9999.0,0.0,7.4
1948-07-09,-9999.0,0.0,6.4
1948-07-10,-9999.0,0.0,5.6
1948-07-11,-9999.0,0.1,6.2
1948-07-12,-9999.0,0.2,7.7
1948-07-13,-9999.0,7.4,10.1
1948-07-14,-9999.0,13.2,6.6
1948-07-15,-9999.0,3.8,7.4
1948-07-16,-9999.0,0.2,6.1
1948-07-17,-9999.0,0.0,5.7
1948-07-18,-9999.0,0.0,7.3
1948-07-19,-9999.0,6.1,11.4
1948-07-20,-9999.0,2.4,11.7
1948-07-21,-9999.0,0.0,12.8
1948-07-22,-9999.0,0.0,14.6
1948-07-23,-9999.0,0.7,13.3
1948-07-24,-9999.0,1.3,11.2
1948-07-25,-9999.0,0.0,10.6
1948-07-26,-9999.0,0.4,11.2
1948-07-27,-9999.0,0.9,15.2
1948-07-28,-9999.0,15.6,15.1
1948-07-29,-9999.0,9.7,11.3
1948-07-30,-9999.0,9.2,10.6
1948-07-31,-9999.0,1.5,12.3
1948-08-01,-9999.0,2.0,14.6
1948-08-02,-9999.0,1.5,12.8
1948-08-03,-9999.0,3.0,13.3
1948-08-04,-9999.0,0.3,13.6
1948-08-05,-9999.0,2.7,11.8
1948-08-06,-9999.0,5.0,11.6
1948-08-07,-9999.0,4.9,13.1
1948-08-08,-9999.0,18.5,13.2
1948-08-09,-9999.0,10.6,12.8
1948-08-10,-9999.0,2.1,7.8
1948-08-11,-9999.0,8.6,8.1
1948-08-12,-9999.0,6.0,6.8
1948-08-13,-9999.0,2.0,3.4
1948-08-14,-9999.0,0.6,5.7
1948-08-15,-9999.0,0.0,9.1
1948-08-16,-9999.0,4.8,10.7
1948-08-17,-9999.0,14.0,10.6
1948-08-18,-9999.0,9.2,6.1
1948-08-19,-9999.0,1.7,7.6
1948-08-20,-9999.0,0.4,6.6
1948-08-21,-9999.0,0.0,8.0
1948-08-22,-9999.0,0.0,10.8
1948-08-23,-9999.0,0.0,12.8
1948-08-24,-9999.0,0.0,12.0
1948-08-25,-9999.0,0.0,14.2
1948-08-26,-9999.0,0.0,13.8
1948-08-27,-9999.0,4.8,14.4
1948-08-28,-9999.0,3.5,13.2
1948-08-29,-9999.0,0.1,9.9
1948-08-30,-9999.0,0.0,10.4
1948-08-31,-9999.0,0.0,10.8
1948-09-01,-9999.0,0.0,10.9
1948-09-02,-9999.0,14.8,9.7
1948-09-03,-9999.0,45.2,9.8
1948-09-04,-9999.0,31.0,6.1
1948-09-05,-9999.0,7.4,4.8
1948-09-06,-9999.0,0.5,5.8
1948-09-07,-9999.0,0.0,5.6
1948-09-08,-9999.0,0.0,7.3
1948-09-09,-9999.0,0.0,9.6
1948-09-10,-9999.0,9.5,10.1
1948-09-11,-9999.0,19.1,9.4
1948-09-12,-9999.0,3.5,5.4
1948-09-13,-9999.0,1.1,4.3
1948-09-14,-9999.0,0.0,5.5
1948-09-15,-9999.0,0.0,8.1
1948-09-16,-9999.0,0.0,7.0
1948-09-17,-9999.0,0.0,7.9
