,Q,PS,TS
1953-12-13,-9999.0,0.0,-0.2
1953-12-14,-9999.0,0.5,1.5
1953-12-15,-9999.0,0.9,1.0
1953-12-16,-9999.0,0.0,2.7
1953-12-17,-9999.0,0.0,0.3
1953-12-18,-9999.0,0.0,0.4
1953-12-19,-9999.0,1.2,-0.7
1953-12-20,-9999.0,0.2,-0.9
1953-12-21,-9999.0,2.0,-2.9
1953-12-22,-9999.0,0.0,-6.7
1953-12-23,-9999.0,0.0,-9.0
1953-12-24,-9999.0,0.0,-7.2
1953-12-25,-9999.0,0.1,-7.2
1953-12-26,-9999.0,0.0,-4.3
1953-12-27,-9999.0,0.0,-6.2
1953-12-28,-9999.0,0.0,-7.6
1953-12-29,-9999.0,0.0,-7.6
1953-12-30,-9999.0,0.0,-9.6
1953-12-31,-9999.0,0.0,-12.4
1954-01-01,-9999.0,0.0,-13.6
1954-01-02,-9999.0,0.0,-11.6
1954-01-03,-9999.0,0.1,-12.2
1954-01-04,-9999.0,0.9,-10.2
1954-01-05,-9999.0,1.2,-10.5
1954-01-06,-9999.0,0.4,-8.4
1954-01-07,-9999.0,0.0,-13.3
1954-01-08,-9999.0,0.0,-13.9
1954-01-09,-9999.0,0.0,-14.4
1954-01-10,-9999.0,0.0,-8.9
1954-01-11,-9999.0,0.0,-6.2
1954-01-12,-9999.0,0.0,-5.5
1954-01-13,-9999.0,17.5,-9.2
1954-01-14,-9999.0,9.1,-5.2
1954-01-15,-9999.0,0.0,-4.7
1954-01-16,-9999.0,0.0,-3.4
1954-01-17,-9999.0,0.0,-3.8
1954-01-18,-9999.0,0.0,-6.8
1954-01-19,-9999.0,0.0,-6.0
1954-01-20,-9999.0,0.0,-7.0
1954-01-21,-9999.0,0.0,-5.6
1954-01-22,-9999.0,0.0,-4.5
1954-01-23,-9999.0,0.0,-6.5
1954-01-24,-9999.0,0.0,-7.3
1954-01-25,-9999.0,0.0,-6.8
1954-01-26,-9999.0,5.2,-8.9
1954-01-27,-9999.0,1.0,-9.9
1954-01-28,-9999.0,0.4,-10.0
1954-01-29,-9999.0,0.0,-7.8
1954-01-30,-9999.0,0.4,-9.6
1954-01-31,-9999.0,0.6,-12.8
1954-02-01,-9999.0,0.0,-8.7
1954-02-02,-9999.0,0.2,-13.8
1954-02-03,-9999.0,0.1,-13.6
1954-02-04,-9999.0,0.0,-10.2
1954-02-05,-9999.0,0.0,-7.3
1954-02-06,-9999.0,0.0,-6.5
1954-02-07,-9999.0,0.0,-8.8
1954-02-08,-9999.0,1.7,-9.1
1954-02-09,-9999.0,16.8,-9.7
1954-02-10,-9999.0,5.3,-7.0
1954-02-11,-9999.0,1.9,-5.6
1954-02-12,-9999.0,0.0,-4.5
1954-02-13,-9999.0,0.0,-3.8
1954-02-14,-9999.0,0.0,-2.1
1954-02-15,-9999.0,2.0,-3.9
1954-02-16,-9999.0,0.0,-4.7
1954-02-17,-9999.0,0.0,-7.2
1954-02-18,-9999.0,0.0,-7.9
1954-02-19,-9999.0,4.2,-7.6
1954-02-20,-9999.0,0.0,-5.8
1954-02-21,-9999.0,0.0,-6.5
1954-02-22,-9999.0,0.0,-6.9
1954-02-23,-9999.0,0.0,-5.2
1954-02-24,-9999.0,0.2,-4.2
1954-02-25,-9999.0,0.0,-3.6
1954-02-26,-9999.0,3.5,-3.2
1954-02-27,-9999.0,0.8,-2.3
1954-02-28,-9999.0,6.7,-3.4
1954-03-01,-9999.0,0.6,-3.8
1954-03-02,-9999.0,29.6,-3.9
1954-03-03,-9999.0,3.3,-4.3
1954-03-04,-9999.0,18.6,-6.8
1954-03-05,-9999.0,0.0,-6.3
1954-03-06,-9999.0,0.0,-8.3
1954-03-07,-9999.0,0.0,-5.8
1954-03-08,-9999.0,0.0,-3.3
1954-03-09,-9999.0,0.0,-2.0
1954-03-10,-9999.0,0.0,-2.3
1954-03-11,-9999.0,0.0,-2.7
1954-03-12,-9999.0,0.8,-2.6
1954-03-13,-9999.0,15.4,-0.9
1954-03-14,-9999.0,0.2,0.9
1954-03-15,-9999.0,0.0,-0.1
1954-03-16,-9999.0,0.0,1.8
1954-03-17,-9999.0,12.4,0.0
1954-03-18,-9999.0,2.4,-0.2
1954-03-19,-9999.0,2.3,0.3
1954-03-20,-9999.0,3.6,0.2
1954-03-21,-9999.0,0.0,-0.3
1954-03-22,-9999.0,0.0,2.5
1954-03-23,-9999.0,13.0,0.7
1954-03-24,-9999.0,0.0,-1.0
1954-03-25,-9999.0,0.0,1.2
1954-03-26,-9999.0,1.0,2.8
1954-03-27,-9999.0,0.0,0.9
1954-03-28,-9999.0,0.0,0.2
1954-03-29,-9999.0,0.0,0.8
1954-03-30,-9999.0,0.0,1.8
1954-03-31,-9999.0,0.8,3.5
1954-04-01,-9999.0,3.9,1.1
1954-04-02,-9999.0,0.0,4.3
1954-04-03,-9999.0,0.0,3.2
1954-04-04,-9999.0,0.0,6.0
1954-04-05,-9999.0,9.7,3.6
1954-04-06,-9999.0,6.9,-5.3
1954-04-07,-9999.0,0.2,-1.6
1954-04-08,-9999.0,0.0,3.2
1954-04-09,-9999.0,1.7,0.5
1954-04-10,-9999.0,4.7,-0.8
1954-04-11,-9999.0,0.0,1.9
1954-04-12,-9999.0,0.0,1.4
1954-04-13,-9999.0,0.0,2.9
1954-04-14,-9999.0,0.0,2.7
1954-04-15,-9999.0,0.0,3.0
1954-04-16,-9999.0,0.3,-0.7
1954-04-17,-9999.0,0.0,-4.0
1954-04-18,-9999.0,0.0,-3.5
1954-04-19,-9999.0,2.9,-3.8
1954-04-20,-9999.0,12.6,-3.2
1954-04-21,-9999.0,0.0,-2.8
1954-04-22,-9999.0,0.0,-0.8
1954-04-23,-9999.0,0.0,2.1
1954-04-24,-9999.0,0.0,3.1
1954-04-25,-9999.0,0.0,2.2
1954-04-26,-9999.0,7.9,1.9
1954-04-27,-9999.0,25.8,1.1
1954-04-28,-9999.0,4.0,2.7
1954-04-29,-9999.0,6.2,4.5
1954-04-30,-9999.0,6.7,2.5
1954-05-01,-9999.0,3.9,3.1
1954-05-02,-9999.0,4.5,3.8
1954-05-03,-9999.0,2.0,-0.4
1954-05-04,-9999.0,1.8,-1.8
1954-05-05,-9999.0,0.0,0.3
1954-05-06,-9999.0,0.0,2.3
1954-05-07,-9999.0,0.0,2.5
1954-05-08,-9999.0,0.0,4.5
1954-05-09,-9999.0,0.0,7.3
1954-05-10,-9999.0,0.1,8.4
1954-05-11,-9999.0,1.8,9.9
1954-05-12,-9999.0,0.0,8.9
1954-05-13,-9999.0,0.0,8.6
1954-05-14,-9999.0,1.7,9.6
1954-05-15,-9999.0,8.6,5.5
1954-05-16,-9999.0,13.3,4.0
1954-05-17,-9999.0,14.1,2.9
1954-05-18,-9999.0,5.1,2.7
1954-05-19,-9999.0,0.1,3.5
1954-05-20,-9999.0,0.1,2.1
1954-05-21,-9999.0,0.0,1.9
1954-05-22,-9999.0,0.0,1.8
1954-05-23,-9999.0,0.8,4.4
1954-05-24,-9999.0,0.1,2.5
1954-05-25,-9999.0,0.0,5.3
1954-05-26,-9999.0,0.0,6.9
1954-05-27,-9999.0,0.0,9.6
1954-05-28,-9999.0,1.2,9.8
1954-05-29,-9999.0,0.0,10.1
1954-05-30,-9999.0,2.2,5.1
1954-05-31,-9999.0,0.9,7.7
1954-06-01,-9999.0,0.0,6.2
1954-06-02,-9999.0,0.3,7.5
1954-06-03,-9999.0,4.3,5.0
1954-06-04,-9999.0,3.3,6.9
1954-06-05,-9999.0,0.0,7.6
1954-06-06,-9999.0,1.5,7.0
1954-06-07,-9999.0,0.0,5.3
1954-06-08,-9999.0,0.0,6.9
1954-06-09,-9999.0,7.7,9.1
1954-06-10,-9999.0,0.0,8.6
1954-06-11,-9999.0,0.0,6.6
1954-06-12,-9999.0,0.0,8.9
1954-06-13,-9999.0,32.3,8.2
1954-06-14,-9999.0,0.4,8.3
1954-06-15,-9999.0,13.3,5.3
1954-06-16,-9999.0,0.5,8.1
1954-06-17,-9999.0,0.1,8.2
1954-06-18,-9999.0,0.1,10.6
1954-06-19,-9999.0,0.0,12.1
1954-06-20,-9999.0,0.4,14.1
1954-06-21,-9999.0,4.6,14.3
1954-06-22,-9999.0,3.1,14.1
1954-06-23,-9999.0,0.1,11.6
1954-06-24,-9999.0,0.0,12.2
1954-06-25,-9999.0,0.0,12.4
1954-06-26,-9999.0,1.2,13.4
1954-06-27,-9999.0,19.7,11.9
1954-06-28,-9999.0,0.3,10.9
1954-06-29,-9999.0,0.0,9.2
1954-06-30,-9999.0,5.3,11.0
1954-07-01,-9999.0,6.9,5.5
1954-07-02,-9999.0,0.0,5.0
1954-07-03,-9999.0,0.0,6.8
1954-07-04,-9999.0,22.9,5.2
1954-07-05,-9999.0,0.0,8.0
1954-07-06,-9999.0,0.2,6.9
1954-07-07,-9999.0,4.2,4.3
1954-07-08,-9999.0,0.0,4.5
1954-07-09,-9999.0,0.0,5.3
1954-07-10,-9999.0,0.0,7.0
1954-07-11,-9999.0,4.2,8.2
1954-07-12,-9999.0,14.9,5.7
1954-07-13,-9999.0,0.0,8.0
1954-07-14,-9999.0,0.0,7.2
1954-07-15,-9999.0,0.0,9.6
1954-07-16,-9999.0,0.0,9.8
1954-07-17,-9999.0,0.0,10.3
1954-07-18,-9999.0,0.0,10.2
1954-07-19,-9999.0,0.0,9.1
1954-07-20,-9999.0,0.0,10.2
1954-07-21,-9999.0,0.0,12.7
1954-07-22,-9999.0,4.2,12.6
1954-07-23,-9999.0,0.0,12.8
1954-07-24,-9999.0,0.0,12.8
1954-07-25,-9999.0,0.0,13.8
1954-07-26,-9999.0,0.0,14.4
1954-07-27,-9999.0,0.0,15.2
1954-07-28,-9999.0,0.0,14.6
1954-07-29,-9999.0,0.0,12.6
1954-07-30,-9999.0,0.0,7.7
1954-07-31,-9999.0,0.0,7.7
1954-08-01,-9999.0,0.0,10.6
1954-08-02,-9999.0,0.0,13.2
1954-08-03,-9999.0,0.0,13.8
1954-08-04,-9999.0,0.0,13.1
1954-08-05,-9999.0,0.0,13.1
1954-08-06,-9999.0,0.3,15.3
1954-08-07,-9999.0,0.0,13.7
1954-08-08,-9999.0,19.5,7.3
1954-08-09,-9999.0,24.2,9.8
1954-08-10,-9999.0,0.0,7.3
1954-08-11,-9999.0,0.0,7.1
1954-08-12,-9999.0,0.0,9.4
1954-08-13,-9999.0,1.1,12.7
1954-08-14,-9999.0,11.0,12.3
1954-08-15,-9999.0,4.7,7.0
1954-08-16,-9999.0,0.0,5.1
1954-08-17,-9999.0,0.0,7.1
1954-08-18,-9999.0,0.0,10.8
1954-08-19,-9999.0,40.9,12.6
1954-08-20,-9999.0,38.9,7.1
1954-08-21,-9999.0,54.4,6.4
1954-08-22,-9999.0,3.3,6.1
1954-08-23,-9999.0,0.9,5.6
1954-08-24,-9999.0,3.6,5.8
1954-08-25,-9999.0,3.4,3.0
1954-08-26,-9999.0,2.8,4.4
1954-08-27,-9999.0,0.0,6.5
1954-08-28,-9999.0,0.0,8.6
1954-08-29,-9999.0,0.0,10.6
1954-08-30,-9999.0,0.0,11.3
1954-08-31,-9999.0,0.0,13.1
1954-09-01,-9999.0,2.4,13.2
1954-09-02,-9999.0,0.8,12.9
1954-09-03,-9999.0,0.0,12.2
1954-09-04,-9999.0,0.0,12.6
1954-09-05,-9999.0,1.7,11.6
1954-09-06,-9999.0,0.0,11.0
1954-09-07,-9999.0,0.7,11.7
1954-09-08,-9999.0,0.3,10.6
1954-09-09,-9999.0,0.0,9.4
1954-09-10,-9999.0,0.0,10.6
1954-09-11,-9999.0,0.0,12.2
1954-09-12,-9999.0,1.3,10.4
1954-09-13,-9999.0,1.2,8.1
1954-09-14,-9999.0,33.4,10.6
1954-09-15,-9999.0,2.6,7.6
1954-09-16,-9999.0,0.8,6.9
1954-09-17,-9999.0,0.0,8.1
1954-09-18,-9999.0,0.0,9.2
1954-09-19,-9999.0,0.4,11.2
1954-09-20,-9999.0,8.7,10.9
1954-09-21,-9999.0,0.0,6.6
1954-09-22,-9999.0,0.0,2.3
1954-09-23,-9999.0,0.0,3.0
1954-09-24,-9999.0,0.1,3.7
1954-09-25,-9999.0,20.3,2.9
1954-09-26,-9999.0,0.0,4.0
1954-09-27,-9999.0,2.9,6.5
1954-09-28,-9999.0,14.9,8.9
1954-09-29,-9999.0,0.0,4.4
1954-09-30,-9999.0,0.0,0.2
1954-10-01,-9999.0,0.0,3.7
1954-10-02,-9999.0,0.0,8.4
1954-10-03,-9999.0,0.0,7.6
1954-10-04,-9999.0,0.0,6.4
1954-10-05,-9999.0,0.0,4.0
1954-10-06,-9999.0,0.0,4.5
1954-10-07,-9999.0,0.0,3.4
1954-10-08,-9999.0,0.0,0.4
1954-10-09,-9999.0,0.0,-0.2
1954-10-10,-9999.0,0.0,-0.4
1954-10-11,-9999.0,0.0,-0.4
1954-10-12,-9999.0,0.0,-0.1
1954-10-13,-9999.0,0.0,1.1
1954-10-14,-9999.0,0.0,1.8
1954-10-15,-9999.0,0.0,2.2
1954-10-16,-9999.0,0.0,3.4
1954-10-17,-9999.0,0.0,5.5
1954-10-18,-9999.0,0.0,7.6
1954-10-19,-9999.0,3.0,6.9
1954-10-20,-9999.0,0.4,7.3
1954-10-21,-9999.0,2.9,3.6
1954-10-22,-9999.0,0.0,3.5
1954-10-23,-9999.0,0.0,2.8
1954-10-24,-9999.0,43.5,1.8
1954-10-25,-9999.0,0.2,4.3
1954-10-26,-9999.0,0.0,1.4
1954-10-27,-9999.0,3.7,2.5
1954-10-28,-9999.0,0.0,6.4
1954-10-29,-9999.0,0.0,6.0
1954-10-30,-9999.0,13.6,5.0
1954-10-31,-9999.0,0.0,3.4
1954-11-01,-9999.0,0.0,3.1
1954-11-02,-9999.0,0.2,2.9
1954-11-03,-9999.0,0.0,4.3
1954-11-04,-9999.0,0.0,2.3
1954-11-05,-9999.0,0.0,1.5
1954-11-06,-9999.0,1.0,1.1
1954-11-07,-9999.0,18.9,1.5
1954-11-08,-9999.0,0.0,3.5
1954-11-09,-9999.0,0.0,1.9
1954-11-10,-9999.0,0.0,0.0
1954-11-11,-9999.0,0.0,-0.8
1954-11-12,-9999.0,0.0,-0.3
1954-11-13,-9999.0,0.0,-0.5
1954-11-14,-9999.0,0.0,-1.8
1954-11-15,-9999.0,0.0,-3.8
1954-11-16,-9999.0,0.0,-4.5
1954-11-17,-9999.0,0.0,-8.2
1954-11-18,-9999.0,0.0,-7.7
1954-11-19,-9999.0,0.0,-7.4
1954-11-20,-9999.0,0.0,-6.3
1954-11-21,-9999.0,0.0,-4.7
1954-11-22,-9999.0,4.7,-5.8
1954-11-23,-9999.0,20.0,-4.3
1954-11-24,-9999.0,0.1,-3.2
1954-11-25,-9999.0,0.0,-3.4
1954-11-26,-9999.0,3.6,-2.2
1954-11-27,-9999.0,0.0,-1.0
1954-11-28,-9999.0,55.6,-2.3
1954-11-29,-9999.0,0.0,-4.2
1954-11-30,-9999.0,14.6,-2.5
1954-12-01,-9999.0,3.5,-0.5
1954-12-02,-9999.0,0.0,1.9
1954-12-03,-9999.0,0.0,0.5
1954-12-04,-9999.0,0.0,-0.2
1954-12-05,-9999.0,6.6,-2.3
1954-12-06,-9999.0,11.6,-6.6
1954-12-07,-9999.0,14.8,-7.7
1954-12-08,-9999.0,7.9,-7.9
1954-12-09,-9999.0,85.1,-5.7
1954-12-10,-9999.0,21.7,-4.7
1954-12-11,-9999.0,0.0,-5.2
1954-12-12,-9999.0,0.4,-8.4
1954-12-13,-9999.0,0.0,-6.8
1954-12-14,-9999.0,0.0,-5.5
1954-12-15,-9999.0,0.0,-4.2
1954-12-16,-9999.0,0.0,-3.6
1954-12-17,-9999.0,0.0,-4.1
1954-12-18,-9999.0,0.0,-4.5
1954-12-19,-9999.0,0.0,-5.0
1954-12-20,-9999.0,0.0,-5.1
1954-12-21,-9999.0,0.4,-7.4
1954-12-22,-9999.0,23.3,-7.3
1954-12-23,-9999.0,5.1,-3.4
1954-12-24,-9999.0,0.1,-4.6
1954-12-25,-9999.0,0.0,-5.2
1954-12-26,-9999.0,0.0,-5.8
1954-12-27,-9999.0,0.0,-5.1
1954-12-28,-9999.0,0.0,-2.5
1954-12-29,-9999.0,0.0,-1.7
1954-12-30,-9999.0,0.0,-5.7
1954-12-31,-9999.0,0.0,-6.5
1955-01-01,-9999.0,0.0,-6.2
1955-01-02,-9999.0,7.4,-8.8
1955-01-03,-9999.0,14.0,-9.7
1955-01-04,-9999.0,0.0,-5.2
1955-01-05,-9999.0,0.8,-2.4
1955-01-06,-9999.0,1.2,-1.7
1955-01-07,-9999.0,6.1,-0.8
1955-01-08,-9999.0,0.0,-3.0
1955-01-09,-9999.0,0.0,-6.8
1955-01-10,-9999.0,7.8,-4.5
1955-01-11,-9999.0,34.8,-6.2
1955-01-12,-9999.0,40.5,-3.5
1955-01-13,-9999.0,26.9,1.6
1955-01-14,-9999.0,24.4,0.8
1955-01-15,-9999.0,7.1,0.6
1955-01-16,-9999.0,28.6,0.5
1955-01-17,-9999.0,36.8,-5.0
1955-01-18,-9999.0,5.9,-4.6
1955-01-19,-9999.0,0.0,-8.2
1955-01-20,-9999.0,0.0,-4.2
1955-01-21,-9999.0,5.0,-6.2
1955-01-22,-9999.0,3.0,-4.9
1955-01-23,-9999.0,0.0,-1.4
1955-01-24,-9999.0,0.0,2.0
1955-01-25,-9999.0,0.0,-1.8
1955-01-26,-9999.0,0.0,-0.8
1955-01-27,-9999.0,0.5,1.6
1955-01-28,-9999.0,0.0,2.6
1955-01-29,-9999.0,0.0,0.6
1955-01-30,-9999.0,0.0,-1.0
1955-01-31,-9999.0,1.0,-1.0
1955-02-01,-9999.0,0.6,-0.5
1955-02-02,-9999.0,3.1,-1.0
1955-02-03,-9999.0,7.0,-5.2
1955-02-04,-9999.0,31.1,-4.7
1955-02-05,-9999.0,18.8,-4.0
1955-02-06,-9999.0,5.0,-4.8
1955-02-07,-9999.0,28.5,-2.7
1955-02-08,-9999.0,27.8,-3.0
1955-02-09,-9999.0,13.6,-0.3
1955-02-10,-9999.0,0.1,-4.4
1955-02-11,-9999.0,0.0,-7.0
1955-02-12,-9999.0,2.6,-6.8
1955-02-13,-9999.0,0.1,-9.4
1955-02-14,-9999.0,0.0,-11.7
1955-02-15,-9999.0,0.0,-10.6
1955-02-16,-9999.0,27.3,-7.2
1955-02-17,-9999.0,53.8,-5.0
1955-02-18,-9999.0,12.4,-4.9
1955-02-19,-9999.0,19.9,-8.4
1955-02-20,-9999.0,3.1,-10.7
1955-02-21,-9999.0,16.7,-13.3
1955-02-22,-9999.0,0.0,-5.6
1955-02-23,-9999.0,22.5,-4.3
1955-02-24,-9999.0,2.1,-3.1
1955-02-25,-9999.0,0.3,-4.7
1955-02-26,-9999.0,0.0,-5.7
1955-02-27,-9999.0,0.0,-4.0
1955-02-28,-9999.0,0.0,-5.3
1955-03-01,-9999.0,0.0,-4.7
1955-03-02,-9999.0,0.0,-4.8
1955-03-03,-9999.0,0.0,-2.5
1955-03-04,-9999.0,0.0,-3.4
1955-03-05,-9999.0,0.0,-6.8
1955-03-06,-9999.0,0.0,-8.9
1955-03-07,-9999.0,0.3,-9.4
1955-03-08,-9999.0,3.0,-8.5
1955-03-09,-9999.0,0.0,-9.2
1955-03-10,-9999.0,3.1,-6.8
1955-03-11,-9999.0,0.0,-4.7
1955-03-12,-9999.0,0.0,-2.2
1955-03-13,-9999.0,0.0,-0.9
1955-03-14,-9999.0,0.0,-0.6
1955-03-15,-9999.0,0.0,-1.0
1955-03-16,-9999.0,0.0,0.3
1955-03-17,-9999.0,0.0,-0.3
1955-03-18,-9999.0,0.0,-4.6
1955-03-19,-9999.0,0.0,-5.6
1955-03-20,-9999.0,10.0,-2.9
1955-03-21,-9999.0,18.4,-3.9
1955-03-22,-9999.0,1.0,-0.8
1955-03-23,-9999.0,0.0,2.5
1955-03-24,-9999.0,0.0,4.6
1955-03-25,-9999.0,0.0,6.3
1955-03-26,-9999.0,18.3,3.8
1955-03-27,-9999.0,0.7,5.5
1955-03-28,-9999.0,0.1,2.5
1955-03-29,-9999.0,0.0,2.5
1955-03-30,-9999.0,0.6,0.5
1955-03-31,-9999.0,3.2,0.0
1955-04-01,-9999.0,0.0,-0.5
1955-04-02,-9999.0,0.0,-0.4
1955-04-03,-9999.0,0.0,2.1
1955-04-04,-9999.0,0.0,1.0
1955-04-05,-9999.0,0.0,4.6
1955-04-06,-9999.0,0.4,6.2
1955-04-07,-9999.0,0.3,4.8
1955-04-08,-9999.0,0.0,2.5
1955-04-09,-9999.0,0.0,4.5
1955-04-10,-9999.0,0.0,3.6
1955-04-11,-9999.0,0.0,2.1
1955-04-12,-9999.0,0.0,3.6
1955-04-13,-9999.0,0.0,2.9
1955-04-14,-9999.0,0.0,3.5
1955-04-15,-9999.0,0.1,1.5
1955-04-16,-9999.0,0.6,-3.0
1955-04-17,-9999.0,0.0,-0.8
1955-04-18,-9999.0,0.0,0.5
1955-04-19,-9999.0,0.0,1.0
1955-04-20,-9999.0,0.0,1.6
1955-04-21,-9999.0,0.0,2.0
1955-04-22,-9999.0,0.0,3.0
1955-04-23,-9999.0,0.0,3.8
1955-04-24,-9999.0,0.0,4.5
1955-04-25,-9999.0,0.0,6.0
1955-04-26,-9999.0,0.0,6.4
1955-04-27,-9999.0,0.0,6.0
1955-04-28,-9999.0,0.0,7.3
1955-04-29,-9999.0,0.0,7.3
1955-04-30,-9999.0,0.0,8.4
1955-05-01,-9999.0,0.0,8.8
1955-05-02,-9999.0,1.3,7.0
1955-05-03,-9999.0,0.0,4.7
1955-05-04,-9999.0,2.3,2.9
1955-05-05,-9999.0,0.0,8.3
1955-05-06,-9999.0,11.9,9.2
1955-05-07,-9999.0,0.0,6.8
1955-05-08,-9999.0,0.0,7.0
1955-05-09,-9999.0,0.0,6.3
1955-05-10,-9999.0,0.2,7.2
1955-05-11,-9999.0,6.1,7.1
1955-05-12,-9999.0,0.0,4.6
1955-05-13,-9999.0,0.0,6.3
1955-05-14,-9999.0,19.6,1.8
1955-05-15,-9999.0,1.9,3.2
1955-05-16,-9999.0,1.3,1.7
1955-05-17,-9999.0,60.6,4.9
1955-05-18,-9999.0,0.4,4.3
1955-05-19,-9999.0,0.0,0.5
1955-05-20,-9999.0,0.0,2.0
1955-05-21,-9999.0,0.0,3.4
1955-05-22,-9999.0,0.0,1.9
1955-05-23,-9999.0,0.0,4.1
1955-05-24,-9999.0,0.0,5.6
1955-05-25,-9999.0,1.2,6.4
1955-05-26,-9999.0,1.7,7.5
1955-05-27,-9999.0,3.4,6.8
1955-05-28,-9999.0,0.3,6.8
1955-05-29,-9999.0,2.1,5.8
1955-05-30,-9999.0,0.3,5.9
1955-05-31,-9999.0,0.5,5.1
1955-06-01,-9999.0,0.0,7.0
1955-06-02,-9999.0,0.0,8.1
1955-06-03,-9999.0,20.4,6.5
1955-06-04,-9999.0,23.9,6.1
1955-06-05,-9999.0,0.0,6.6
1955-06-06,-9999.0,10.6,11.6
1955-06-07,-9999.0,61.0,6.8
1955-06-08,-9999.0,1.6,4.7
1955-06-09,-9999.0,30.6,5.5
1955-06-10,-9999.0,4.3,5.2
1955-06-11,-9999.0,0.0,5.1
1955-06-12,-9999.0,0.0,4.5
1955-06-13,-9999.0,0.0,6.1
1955-06-14,-9999.0,0.0,6.6
1955-06-15,-9999.0,0.0,9.6
1955-06-16,-9999.0,0.0,11.6
1955-06-17,-9999.0,2.6,11.3
1955-06-18,-9999.0,4.5,11.6
1955-06-19,-9999.0,10.0,9.1
1955-06-20,-9999.0,3.0,9.2
1955-06-21,-9999.0,0.4,8.4
1955-06-22,-9999.0,0.0,9.0
1955-06-23,-9999.0,0.0,10.4
1955-06-24,-9999.0,6.2,12.8
1955-06-25,-9999.0,1.7,12.2
1955-06-26,-9999.0,7.6,13.0
1955-06-27,-9999.0,0.0,10.4
1955-06-28,-9999.0,9.8,8.9
1955-06-29,-9999.0,0.0,8.4
1955-06-30,-9999.0,0.0,10.0
1955-07-01,-9999.0,0.0,11.2
1955-07-02,-9999.0,4.5,13.6
1955-07-03,-9999.0,6.0,10.8
1955-07-04,-9999.0,3.8,10.6
1955-07-05,-9999.0,0.0,7.8
1955-07-06,-9999.0,0.0,6.6
1955-07-07,-9999.0,1.7,7.0
1955-07-08,-9999.0,0.0,8.6
1955-07-09,-9999.0,0.0,11.6
1955-07-10,-9999.0,2.9,12.1
1955-07-11,-9999.0,4.5,10.0
1955-07-12,-9999.0,0.0,9.9
1955-07-13,-9999.0,0.0,12.2
1955-07-14,-9999.0,1.5,13.1
1955-07-15,-9999.0,6.7,10.9
1955-07-16,-9999.0,1.6,12.2
1955-07-17,-9999.0,0.0,14.2
1955-07-18,-9999.0,0.9,16.5
1955-07-19,-9999.0,3.9,13.5
1955-07-20,-9999.0,0.7,12.1
1955-07-21,-9999.0,0.9,11.6
1955-07-22,-9999.0,0.0,11.2
1955-07-23,-9999.0,0.0,12.0
1955-07-24,-9999.0,0.0,13.9
1955-07-25,-9999.0,13.6,13.7
1955-07-26,-9999.0,6.5,10.1
1955-07-27,-9999.0,0.0,10.1
1955-07-28,-9999.0,1.2,9.1
1955-07-29,-9999.0,0.0,8.1
1955-07-30,-9999.0,0.0,10.7
1955-07-31,-9999.0,0.0,11.8
1955-08-01,-9999.0,1.2,11.7
1955-08-02,-9999.0,0.0,10.1
1955-08-03,-9999.0,0.0,9.5
1955-08-04,-9999.0,0.0,10.8
1955-08-05,-9999.0,0.0,10.4
1955-08-06,-9999.0,0.0,10.4
1955-08-07,-9999.0,0.0,9.2
1955-08-08,-9999.0,0.0,8.1
1955-08-09,-9999.0,0.0,6.1
1955-08-10,-9999.0,0.5,7.1
1955-08-11,-9999.0,1.8,9.7
1955-08-12,-9999.0,2.1,7.3
1955-08-13,-9999.0,0.3,9.9
1955-08-14,-9999.0,0.0,9.8
1955-08-15,-9999.0,0.6,10.2
1955-08-16,-9999.0,0.0,10.8
1955-08-17,-9999.0,0.0,12.2
1955-08-18,-9999.0,0.0,12.6
1955-08-19,-9999.0,5.3,12.7
1955-08-20,-9999.0,6.4,13.3
1955-08-21,-9999.0,0.0,11.9
1955-08-22,-9999.0,0.0,11.6
1955-08-23,-9999.0,1.4,12.1
1955-08-24,-9999.0,5.2,11.8
1955-08-25,-9999.0,2.5,11.3
1955-08-26,-9999.0,2.0,10.1
1955-08-27,-9999.0,0.6,10.2
1955-08-28,-9999.0,0.1,11.8
1955-08-29,-9999.0,0.4,12.8
1955-08-30,-9999.0,6.9,13.2
1955-08-31,-9999.0,6.7,8.7
1955-09-01,-9999.0,0.0,9.2
1955-09-02,-9999.0,0.0,10.1
1955-09-03,-9999.0,0.0,12.1
1955-09-04,-9999.0,0.7,10.8
1955-09-05,-9999.0,0.1,10.2
1955-09-06,-9999.0,0.0,10.7
1955-09-07,-9999.0,0.0,9.8
1955-09-08,-9999.0,1.5,9.8
1955-09-09,-9999.0,11.5,10.3
1955-09-10,-9999.0,6.7,8.6
1955-09-11,-9999.0,0.5,7.3
1955-09-12,-9999.0,0.0,8.1
1955-09-13,-9999.0,0.5,7.3
1955-09-14,-9999.0,1.8,2.1
1955-09-15,-9999.0,0.1,0.4
1955-09-16,-9999.0,0.0,2.1
1955-09-17,-9999.0,0.0,6.2
1955-09-18,-9999.0,0.0,6.1
1955-09-19,-9999.0,0.0,8.0
1955-09-20,-9999.0,0.0,8.3
1955-09-21,-9999.0,0.0,8.2
1955-09-22,-9999.0,0.0,10.3
1955-09-23,-9999.0,0.0,9.1
1955-09-24,-9999.0,0.0,9.1
1955-09-25,-9999.0,0.0,9.8
1955-09-26,-9999.0,6.3,9.3
1955-09-27,-9999.0,1.1,7.8
1955-09-28,-9999.0,0.8,3.5
